Time,GRW1.F,,,GRW1.M,,,GRW1,,,GRW1.DA,,,GRW2.F,,,GRW2.M,,,GRW2,,,GRW2.DA,,,GRW3.F,,,GRW3.M,,,GRW3,,,GRW3.DA,,
11.6,-0.641951,-1.17394,2.55777,-784.694,-87.0046,-2072.61,14.016,-322.669,-1.56505,114.654,104.089,241.329,1.70403,-2.15176,3.41025,-417.565,-153.445,101.962,-187.471,286.49,-7.57538,122.251,63.4497,308.377,0.106193,-5.05229,1.6499,-139.305,3.70445,418.12,213.433,287.204,0.62162,161.915,86.3173,271.204
11.61,-0.531323,-1.21692,2.11945,-772.378,-256.301,-2053.47,14.016,-322.669,-1.56505,119.863,104.073,246.413,1.78287,-1.32774,4.20465,-372.737,-297.396,69.3773,-187.471,286.49,-7.57538,107.525,67.0219,323.324,-0.0270792,-5.30025,2.35294,-164.418,-16.9818,341.497,213.433,287.204,0.62162,156.062,90.6594,269.707
11.62,-0.434176,-1.204,3.00288,-681.183,-172.863,-1986.18,14.016,-322.669,-1.56505,111.848,98.2272,250.17,2.05959,-1.87598,4.44192,-290.997,-250.716,137.266,-187.471,286.49,-7.57538,112.896,65.1242,317.671,-0.435198,-4.96957,1.79951,-72.8053,9.14386,386.575,213.433,287.204,0.62162,160.094,103.596,264.995
11.63,-0.550949,-1.3342,2.65156,-883.478,-233.055,-1982.23,14.016,-322.669,-1.56505,116.71,101.738,247.562,1.66561,-1.56349,4.0462,-385.669,-168.71,118.796,-187.471,286.49,-7.57538,111.127,67.6256,316.811,-0.0656973,-5.09336,2.11742,-141.388,-75.3959,448.437,213.433,287.204,0.62162,157.426,91.7771,269.261
11.64,-0.38747,-1.29579,3.44212,-699.38,-257.515,-1994.44,14.016,-322.669,-1.56505,110.629,96.4226,253.352,2.13317,-1.48347,3.64685,-429.096,-150.498,138.431,-187.471,286.49,-7.57538,112.136,59.6751,325.184,-0.0538761,-4.92854,1.17808,-71.1967,27.9088,396.174,213.433,287.204,0.62162,166.557,92.6184,269.374
11.65,-0.189276,-1.29019,2.12601,-685.491,-405.872,-1956.31,14.016,-322.669,-1.56505,121.252,95.0876,261.654,1.6655,-2.23034,3.48989,-692.219,-38.6047,145.464,-187.471,286.49,-7.57538,122.582,64.4878,306.75,-0.0963369,-4.96991,1.25586,-87.478,3.73196,309.256,213.433,287.204,0.62162,165.819,94.3866,268.89
11.66,-0.577087,-1.12692,1.85756,-755.048,-192.438,-2019.22,14.016,-322.669,-1.56505,121.244,107.258,242.883,1.93593,-1.60181,3.17084,-435.405,-139.956,157.618,-187.471,286.49,-7.57538,116.801,58.5942,320.395,-0.510073,-5.3016,1.17265,-117.121,64.196,312.084,213.433,287.204,0.62162,167.528,113.508,264.504
11.67,-0.459837,-1.33523,2.38707,-744.833,-108.98,-2001.08,14.016,-322.669,-1.56505,119.221,100.904,250.997,1.19363,-1.52584,3.49187,-113.255,-203.639,110.113,-187.471,286.49,-7.57538,113.604,71.1279,308.035,-0.20677,-5.26098,0.158846,-6.69911,146.826,380.282,213.433,287.204,0.62162,178.271,142.468,267.749
11.68,-0.465627,-1.28451,1.42241,-791.977,-297.478,-1955.05,14.016,-322.669,-1.56505,132.084,108.126,250.075,1.82201,-2.03368,3.64817,-459.124,-133.696,63.5241,-187.471,286.49,-7.57538,119.138,63.461,311.858,-0.380895,-4.8048,0.782435,43.5181,-18.3518,405.489,213.433,287.204,0.62162,170.751,115.957,265.467
11.69,-0.299517,-1.18176,2.47822,-590.343,-216.347,-1942.35,14.016,-322.669,-1.56505,115.495,96.8913,255.778,1.50732,-2.23087,3.09318,-421.769,-37.9896,201.514,-187.471,286.49,-7.57538,125.8,64.0198,304.046,-0.0646633,-5.17628,2.03923,-66.358,-101.204,431.184,213.433,287.204,0.62162,158.498,91.8162,269.284
11.7,-0.485412,-1.06036,1.50459,-597.99,36.8445,-2047.56,14.016,-322.669,-1.56505,125.174,107.881,245.403,1.5464,-1.91693,3.33144,-484.351,-84.0229,152.413,-187.471,286.49,-7.57538,119.916,65.1,308.893,-0.22279,-4.96983,1.41082,36.8744,43.5271,378.004,213.433,287.204,0.62162,164.152,98.9738,267.433
11.71,-0.822979,-1.29079,3.35236,-763.511,-402.023,-2003.77,14.016,-322.669,-1.56505,111.059,103.793,237.479,1.39391,-1.21137,4.84209,-366.534,-241.278,77.91,-187.471,286.49,-7.57538,104.046,73.9403,319.008,0.471662,-5.05151,2.28075,48.5175,-29.1,422.976,213.433,287.204,0.62162,155.701,78.3159,275.334
11.72,-0.670493,-1.19076,1.76462,-695.718,-278.065,-2098.4,14.016,-322.669,-1.56505,124.011,110.805,240.617,1.78414,-1.40619,4.44307,-361.375,-166.225,103.264,-187.471,286.49,-7.57538,107.562,68.1218,321.756,0.770766,-4.55491,1.57958,84.4883,36.2475,464.867,213.433,287.204,0.62162,160.874,63.9896,279.604
11.73,-0.390319,-1.06509,2.21416,-842.971,-1.63724,-1948.6,14.016,-322.669,-1.56505,115.689,99.9976,249.874,1.61809,-1.75978,1.90058,-317.09,-105.172,97.1523,-187.471,286.49,-7.57538,132.797,49.5901,312.598,1.84669,-4.88554,1.82836,-132.443,-138.352,431.677,213.433,287.204,0.62162,159.482,44.7142,290.706
11.74,-0.253899,-1.58135,3.16711,-701.171,-176.749,-2201.42,14.016,-322.669,-1.56505,116.533,94.5835,260.879,2.1359,-1.79727,4.04422,-366.684,-124.063,131.59,-187.471,286.49,-7.57538,113.961,62.1598,319.921,1.04177,-5.38181,3.14934,113.588,58.4071,363.179,213.433,287.204,0.62162,149.665,71.6963,280.955
