time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
5.10500019,-15.07598204,-4.83350985,27.0040165,-1.82552498,0.92801304,0.27381585,59.09508262,-13.1501788,-11.90948922,113.3442992,113.3442992,7.88618676,0,0,16.97732414,-4.85423113,10.80400111,40.60265898,40.60265898,21.44901123,0,0,-23.64169498,9.03880842,-18.70417483,-45.21595357,-12.83058335,-18.0611939,69.22439228,82.10553946,0,0,64.19315687,-12.1083669,8.7528535,109.0513313,34.49349524,0,0
5.11000019,-15.75550982,-5.40282578,26.79297741,-1.79461178,0.92507824,0.27300225,62.54839334,-13.4789827,-10.61267425,111.6414072,111.6414072,8.26198648,0,0,15.6778194,-5.94189594,11.19237186,39.58745739,39.58745739,19.82278048,0,0,-22.2201631,9.57212527,-18.74498953,-48.40219822,-12.50370346,-18.81294211,69.98480894,83.69081108,0,0,67.34550728,-11.58218517,8.1255438,110.0069257,34.20126254,0,0
5.11500019,-16.41722688,-5.89575521,26.29048133,-1.76307138,0.92255853,0.27225365,65.75037578,-13.55765863,-9.27189628,109.5284184,109.5284184,8.53325527,0,0,14.19711572,-7.00800978,11.38711902,38.40844523,38.40844523,17.65931724,0,0,-20.84596799,9.99620645,-18.55588142,-51.45982787,-12.1146067,-19.70711493,70.7250793,84.783118,0,0,70.1531595,-11.19530872,7.38687296,111.0765301,34.02729465,0,0
5.12000019,-17.00735413,-6.2927012,25.52740614,-1.7308706,0.92055627,0.27152792,68.58574006,-13.40223525,-7.97077012,107.0100384,107.0100384,8.72387341,0,0,12.46961672,-8.02466606,11.40027928,37.0594174,37.0594174,14.95945571,0,0,-19.58525818,10.33273426,-18.15402588,-54.35006982,-11.67732022,-20.72743874,71.43308917,85.54606803,0,0,72.58661622,-10.9592787,6.57522285,112.282838,33.86993953,0,0
5.12500019,-17.48230114,-6.58363677,24.54338903,-1.69800755,0.9191517,0.27081045,70.96519561,-13.04058806,-6.77892702,104.0944597,104.0944597,8.84854758,0,0,10.45728086,-8.96306764,11.2506981,35.53941993,35.53941993,11.74238649,0,0,-18.49018713,10.60053696,-17.5633199,-57.03428412,-11.20527687,-21.84681767,72.10167115,86.06818627,0,0,74.61943841,-10.8756369,5.73274856,113.645132,33.52793327,0,0
5.13000019,-17.81298034,-6.77182118,23.38061435,-1.66451499,0.91839958,0.27012204,72.83215446,-12.50109167,-5.74622208,100.788903,100.788903,8.90963279,0,0,8.15673843,-9.79829642,10.96225447,33.85916349,33.85916349,8.05156436,0,0,-17.59537675,10.81827264,-16.81167404,-59.47169913,-10.70563212,-23.04518964,72.72602562,86.46198563,0,0,76.22803787,-10.94793766,4.89317111,115.1267661,33.53288424,0,0
5.13500019,-17.9890941,-6.8711427,22.08143218,-1.63046551,0.91832489,0.26950779,74.1648639,-11.8107208,-4.89840035,97.09739316,97.09739316,8.89377423,0,0,5.60303695,-10.50842443,10.56449735,32.04904283,32.04904283,3.96065045,0,0,-16.9135801,10.99981175,-15.92661609,-61.62740277,-10.18529109,-24.29013795,73.30589137,86.73121554,0,0,77.38646219,-11.17382225,4.10036422,116.7615524,33.32387391,0,0
5.14000019,-18.01836713,-6.89754842,20.69894415,-1.59597346,0.91892107,0.26898726,74.96978713,-11.01343806,-4.23942953,93.02444569,93.02444569,8.77115736,0,0,2.8679516,-11.06800882,10.10893049,30.16829081,30.16829081,-0.41861575,0,0,-16.43591131,11.15555966,-14.95125569,-63.47114274,-9.64995931,-25.55714069,73.8427066,86.91944698,0,0,78.06957058,-11.5499591,3.38032735,118.498921,33.37928463,0,0
5.14500019,-17.92098414,-6.86213585,19.30503125,-1.56118321,0.92015163,0.26851749,75.27226063,-10.18301033,-3.75988691,88.57996245,88.57996245,8.49905231,0,0,0.05301889,-11.4500889,9.67913377,28.30984681,28.30984681,-4.93067011,0,0,-16.13680856,11.29394802,-13.94955551,-64.98335708,-9.10798673,-26.82095497,74.33962064,87.05593572,0,0,78.25282554,-12.07468702,2.76223455,120.3348544,33.41245751,0,0
5.15000019,-17.72336375,-6.77428325,17.97694054,-1.52624477,0.92195538,0.26802882,75.10953302,-9.39998124,-3.44539296,83.77822909,83.77822909,8.02808209,0,0,-2.72064244,-11.64403635,9.36780196,26.60178943,26.60178943,-9.38170118,0,0,-15.98168491,11.42268442,-12.99304006,-66.15230016,-8.56929218,-28.05448927,74.80092414,87.12127193,0,0,77.91619464,-12.74607683,2.26909104,122.2452939,33.27713556,0,0
